Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
COORDINADOR DE CONTRATOS GENERALES  ( S ),5,2500,30000,208.33,31.25,0,1500,1739.58
ABOGADO,4,2500,30000,208.33,31.25,0,0,239.58
ABOGADO,4,2500,30000,208.33,31.25,0,0,239.58
COORDINADOR DE MATERIALES Y EQUIPOS EN REPARACIÓN ( E ),5,916,10992,76.33,31.25,0,1299,1406.58
OPERADOR DE ISLA,3,1015,12180,84.58,31.25,0,0,115.83
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
ASISTENTE DE OPERACIONES  ( S ),2,465,5580,38.75,31.25,0,329.85,399.85
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,41.86,31.25,37.3,0,110.41
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE ISLA ( E ),3,465,5580,41.86,31.25,37.3,550,660.41
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
ANALISTA DE IMPORTACIONES,3,1310,15720,109.17,31.25,0,0,140.42
COORDINADOR DE CONTROL DE COBROS E IMPUESTOS ( E ),5,1310,15720,109.17,31.25,0,905,1045.42
COORDINADOR GENERAL DE TESORERIA,6,4000,48000,333.33,31.25,0,0,364.58
COORDINADOR DE CONTABILIDAD,5,2860,34320,265.15,31.25,321.75,0,618.15
AUDITOR INTERNO,4,2000,24000,166.67,31.25,0,0,197.92
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,279.41,31.25,399.88,0,710.54
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,465,5580,38.75,31.25,0,0,70
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,465,5580,38.75,31.25,0,0,70
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,261.98,31.25,190.71,0,483.94
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ),2,465,5580,38.75,31.25,0,222,292
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,51.55,31.25,153.55,0,236.35
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,42.82,31.25,48.88,550,672.95
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,45.09,31.25,76.05,0,152.39
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,47.87,31.25,109.48,0,188.6
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,47.87,31.25,109.48,0,188.6
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,41.86,31.25,37.29,550,660.4
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,43.31,31.25,54.74,0,129.3
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE AUTOMOTRIZ,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,51.55,31.25,153.55,0,236.35
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
ABOGADO,4,2500,30000,208.33,31.25,0,0,239.58
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
INGENIERO ESPECIALISTA DE LEVANTAMIENTO ARTIFICIAL,5,2953,35436,246.08,31.25,0,0,277.33
COORDINADOR DE PROCEDIMIENTOS DE CONTRATACIÓN PÚBLICA ( E ),5,1750,21000,145.83,31.25,0,465,642.08
AGENTE DE SEGURIDAD,2,906,10872,75.5,31.25,0,0,106.75
COORDINADOR DE CONTROL DE INVENTARIO DE MATERIALES,5,2860,34320,269.61,31.25,375.37,0,676.23
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
COORDINADOR DE COSTOS Y PRESUPUESTO DE MATERIALES ( E ),6,1310,15720,109.17,31.25,0,905,1045.42
ASISTENTE DE GESTIÓN DE RIESGOS,2,845.61,10147.32,70.47,31.25,0,0,101.72
SUPERVISOR RCRS,5,4000,48000,333.33,31.25,0,0,364.58
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
ADMINISTRADOR DE CAMPO ( E ),4,916,10992,76.33,31.25,0,252.63,360.21
MÉDICO OCUPACIONAL,4,2500,30000,208.33,31.25,0,0,239.58
MÉDICO OCUPACIONAL,4,2500,30000,208.33,31.25,0,0,239.58
ASISTENTE DE OPERACIONES,2,700,8400,58.33,31.25,0,0,89.58
ABOGADO,4,2500,30000,208.33,31.25,0,0,239.58
ANALISTA DE COMUNICACIÓN,3,1400,16800,116.67,31.25,0,0,147.92
ABOGADO,4,2500,30000,208.33,31.25,0,0,239.58
ESPECIALISTA DE CONTRATOS,4,2000,24000,166.67,31.25,0,0,197.92
CONSTRUCTOR COMUNITARIO,4,2400,28800,200,31.25,0,0,231.25
JEFE DE CONTRATOS,6,2132,25584,177.67,31.25,0,0,208.92
MÉDICO COMUNITARIO,4,2500,30000,208.33,31.25,0,0,239.58
OPERADOR DE PLANTA,3,900.57,10806.84,80.21,31.25,61.91,0,173.37
SUPERVISOR ELÉCTRICO,5,1800,21600,150,31.25,0,0,181.25
OPERADOR DE ISLA,3,845.61,10147.32,75.31,31.25,58.14,0,164.7
RESERVORISTA ( E ),5,1800,21600,184.5,31.25,414,415,1044.75
CONDUCTOR ADMINISTRATIVO,1,845.61,10147.32,84.56,31.25,169.13,0,284.94
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
TÉCNICO ELÉCTRICO (SUBESTACIONES),3,1150,13800,95.83,31.25,0,0,127.08
OPERADOR DE ISLA,3,794,9528,66.17,31.25,0,0,97.42
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
TÉCNICO AGROPECUARIO,4,2200,26400,183.33,31.25,0,0,214.58
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN ( E ),3,845.61,10147.32,71.13,31.25,7.93,169.39,279.7
SUPERVISOR ELÉCTRICO,5,1800,21600,157.48,31.25,89.81,0,278.54
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
INGENIERO DE FACILIDADES,5,2041.61,24499.32,170.13,31.25,0,0,201.38
ADMINISTRADOR DE CAMPO,4,2495.3,29943.6,207.94,31.25,0,0,239.19
TÉCNICO ELÉCTRICO,3,1150,13800,95.83,31.25,0,0,127.08
SUPERVISOR DE PRODUCCIÓN,5,2200,26400,262.78,31.25,953.33,0,1247.36
ESPECIALISTA DE INFRAESTRUCTURA DE TI ( E ),4,1800,21600,155.84,31.25,70.06,75,332.15
OPERADOR DE ISLA,3,845.61,10147.32,75.31,31.25,58.14,0,164.7
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN,3,1150,13800,97.63,31.25,21.56,0,150.44
INGENIERO DE CORROSIÓN Y QUÍMICOS,5,2736,32832,228,31.25,0,0,259.25
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
OPERADOR DE PLANTA,3,900.57,10806.84,75.05,31.25,0,0,106.3
AYUDANTE DE PRODUCCIÓN,1,845.61,10147.32,70.47,31.25,0,0,101.72
GEÓLOGO,5,3220,38640,268.33,31.25,0,0,299.58
OPERADOR DE ISLA,3,845.61,10147.32,75.31,31.25,58.14,0,164.7
ANALISTA DE GERENCIAMIENTO DE DATOS,3,1500,18000,125,31.25,0,0,156.25
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
OPERADOR DE ISLA,3,794,9528,70.72,31.25,54.59,0,156.56
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
JEFE DE CAMPO ( E ),7,3354.75,40257,279.56,31.25,0,2745.25,3056.06
OPERADOR DE ISLA,3,794,9528,66.17,31.25,0,0,97.42
AYUDANTE DE CONSTRUCCIONES,1,794,9528,66.17,31.25,0,0,97.42
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,1150,13800,97.33,31.25,17.97,0,146.55
TÉCNICO INSTRUMENTISTA,3,1150,13800,101.27,31.25,65.28,0,197.8
OPERADOR DE ISLA,3,845.61,10147.32,75.31,31.25,58.14,0,164.7
AYUDANTE DE PRODUCCIÓN,1,845.61,10147.32,70.47,31.25,0,0,101.72
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
AYUDANTE DE PRODUCCIÓN,1,845.61,10147.32,73.7,31.25,38.76,0,143.71
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
AYUDANTE DE MANTENIMIENTO,1,950,11400,79.17,31.25,0,0,110.42
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1150,13800,97.32,31.25,17.85,0,146.42
OPERADOR DE ISLA,3,845.61,10147.32,74.5,31.25,48.45,0,154.2
TÉCNICO ELÉCTRICO (LÍNEAS),3,1150,13800,95.83,31.25,0,0,127.08
INGENIERO DE FACILIDADES,5,1917,23004,168.74,31.25,107.83,0,307.82
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN ( E ),3,1011.75,12141,84.31,31.25,0,3.25,118.81
AYUDANTE DE MANTENIMIENTO,1,1077.51,12930.12,89.79,31.25,0,0,121.04
OPERADOR DE ISLA,3,845.61,10147.32,70.47,31.25,0,0,101.72
TÉCNICO INSTRUMENTISTA ( E ),3,845.61,10147.32,72.23,31.25,21.14,169.39,294.01
ANALISTA DE CONTROL DE COSTOS,3,1500,18000,125,31.25,0,0,156.25
ESPECIALISTA EN PETROFÍSICA,4,1800,21600,150,31.25,0,0,181.25
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN ( E ),3,950,11400,79.17,31.25,0,65,175.42
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,900.57,10806.84,75.05,31.25,0,114.43,220.73
OPERADOR DE ISLA,3,1334,16008,118.81,31.25,91.71,0,241.77
OPERADOR DE ISLA,3,845.61,10147.32,72.89,31.25,29.07,0,133.21
OPERADOR DE ISLA,3,794,9528,71.47,31.25,63.68,0,166.4
TÉCNICO AUTOMOTRIZ ( E ),3,900.57,10806.84,75.05,31.25,0,114.43,220.73
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
OPERADOR DE ISLA,3,845.61,10147.32,76.12,31.25,67.83,0,175.2
OPERADOR DE ISLA,3,794,9528,66.17,31.25,0,0,97.42
OPERADOR DE ISLA,3,2083.33,24999.96,193.68,31.25,240.88,0,465.81
RESERVORISTA ( E ),5,2041.61,24499.32,170.13,31.25,0,173.39,374.77
CONDUCTOR ADMINISTRATIVO,1,794,9528,75.81,31.25,115.78,0,222.84
ADMINISTRADOR DE CAMPO,4,1800,21600,150,31.25,0,0,181.25
